"salmon.geneid","zebrafish.geneid","human.geneid","zebrafish.genename","zebrafish.genename_full","human.genename","human.genename_full","gene_name_base"
"ENSSSAG00000015493","ENSDARG00000067916","ENSG00000254087","lyn","lyn","LYN","LYN","lyn"
"ENSSSAG00000015494","ENSDARG00000040284","NA","si:dkey-79d12","si:dkey-79d12.5",NA,NA,"si:dkey-79d12"
"ENSSSAG00000015497","ENSDARG00000056203","NA","si:ch211-201h21","si:ch211-201h21.5",NA,NA,"si:ch211-201h21"
"ENSSSAG00000015500","ENSDARG00000027491","ENSG00000188690","uros","uros","UROS","UROS","uros"
"ENSSSAG00000015502","ENSDARG00000113928","ENSG00000109956","B3GAT1","B3GAT1","B3GAT1","B3GAT1","b3gat1"
"ENSSSAG00000015503","ENSDARG00000102020","ENSG00000100344","pnpla3","pnpla3","PNPLA3","PNPLA3","pnpla3"
"ENSSSAG00000015506","ENSDARG00000037613","ENSG00000116977","lgals8b","lgals8b","LGALS8","LGALS8","lgals8"
"ENSSSAG00000015511","ENSDARG00000061013","ENSG00000185722","ankfy1","ankfy1","ANKFY1","ANKFY1","ankfy1"
"ENSSSAG00000015515","ENSDARG00000017427","ENSG00000129292","phf20l1","phf20l1","PHF20L1","PHF20L1","phf20l1"
"ENSSSAG00000015519","ENSDARG00000062781","NA","glsl","glsl",NA,NA,"glsl"
"ENSSSAG00000015523","ENSDARG00000020595","ENSG00000130119","gnl3l","gnl3l","GNL3L","GNL3L","gnl3l"
"ENSSSAG00000015525","ENSDARG00000034707","NA","ftr85","ftr85",NA,NA,"ftr85"
"ENSSSAG00000015529","ENSDARG00000075108","ENSG00000150403","tmco3","tmco3","TMCO3","TMCO3","tmco3"
"ENSSSAG00000015535","ENSDARG00000057992","ENSG00000134363","fstb","fstb","FST","FST","fst"
"ENSSSAG00000015544","ENSDARG00000054172","ENSG00000101856","pgrmc1","pgrmc1","PGRMC1","PGRMC1","pgrmc1"
"ENSSSAG00000015546","ENSDARG00000038064","ENSG00000115561","chmp3","chmp3","CHMP3","CHMP3","chmp3"
"ENSSSAG00000015549","ENSDARG00000076040","ENSG00000185305","arl15a","arl15a","ARL15","ARL15","arl15"
"ENSSSAG00000015551","ENSDARG00000044356","ENSG00000073282","tp63","tp63","TP63","TP63","tp63"
"ENSSSAG00000015561","ENSDARG00000074501","ENSG00000168884","tnip2","tnip2","TNIP2","TNIP2","tnip2"
"ENSSSAG00000015562","ENSDARG00000086571","NA","kcna7","kcna7",NA,NA,"kcna7"
"ENSSSAG00000015572","ENSDARG00000075600","NA","cspg4bb","cspg4bb",NA,NA,"cspg4bb"
"ENSSSAG00000015576","ENSDARG00000070589","ENSG00000132313","mrpl35","mrpl35","MRPL35","MRPL35","mrpl35"
"ENSSSAG00000015578","ENSDARG00000076627","ENSG00000105771","smg9","smg9","SMG9","SMG9","smg9"
"ENSSSAG00000015583","ENSDARG00000045556","ENSG00000169918","otud7a","otud7a","OTUD7A","OTUD7A","otud7a"
"ENSSSAG00000015587","ENSDARG00000035122","ENSG00000130559","camsap1b","camsap1b","CAMSAP1","CAMSAP1","camsap1"
"ENSSSAG00000015593","ENSDARG00000040727","ENSG00000029639","tfb1m","tfb1m","TFB1M","TFB1M","tfb1m"
"ENSSSAG00000015599","ENSDARG00000089123","ENSG00000259823|ENSG00000234465","negaly6","negaly6","LYPD8","LYPD8|PINLYP","negaly6"
"ENSSSAG00000015601","ENSDARG00000053129","ENSG00000153048","carhsp1","carhsp1","CARHSP1","CARHSP1","carhsp1"
"ENSSSAG00000015607","ENSDARG00000004948","ENSG00000107949","bccip","bccip","BCCIP","BCCIP","bccip"
"ENSSSAG00000015611","ENSDARG00000074989","ENSG00000152583","sparcl1","sparcl1","SPARCL1","SPARCL1","sparcl1"
"ENSSSAG00000015613","ENSDARG00000013472","NA","nedd1","nedd1",NA,NA,"nedd1"
"ENSSSAG00000015616","ENSDARG00000060089","ENSG00000095564","btaf1","btaf1","BTAF1","BTAF1","btaf1"
"ENSSSAG00000015618","ENSDARG00000079295","ENSG00000148408","cacna1bb","cacna1bb","CACNA1B","CACNA1B","cacna1b"
"ENSSSAG00000015620","ENSDARG00000089123","ENSG00000259823|ENSG00000234465","negaly6","negaly6","LYPD8","LYPD8|PINLYP","negaly6"
"ENSSSAG00000015622","ENSDARG00000018178","ENSG00000169299","pgm2","pgm2","PGM2","PGM2","pgm2"
"ENSSSAG00000015624","ENSDARG00000060705","ENSG00000165671","nsd1b","nsd1b","NSD1","NSD1","nsd1"
"ENSSSAG00000015626","ENSDARG00000044251","ENSG00000138670","rasgef1bb","rasgef1bb","RASGEF1B","RASGEF1B","rasgef1b"
"ENSSSAG00000015628","ENSDARG00000069928","ENSG00000171132","prkceb","prkceb","PRKCE","PRKCE","prkce"
"ENSSSAG00000015629","ENSDARG00000091712","NA","si:dkey-238d18","si:dkey-238d18.5",NA,NA,"si:dkey-238d18"
"ENSSSAG00000015630","ENSDARG00000033201","ENSG00000182809","crip2l","crip2l","CRIP2","CRIP2","crip2"
"ENSSSAG00000015632","ENSDARG00000087178","NA","scpp9","scpp9",NA,NA,"scpp9"
"ENSSSAG00000015635","ENSDARG00000074652","NA","smtna","smtna",NA,NA,"smtna"
"ENSSSAG00000015637","ENSDARG00000087780","ENSG00000146426","tiam2a","tiam2a","TIAM2","TIAM2","tiam2"
"ENSSSAG00000015639","ENSDARG00000028201","ENSG00000169019","commd8","commd8","COMMD8","COMMD8","commd8"
"ENSSSAG00000015641","ENSDARG00000088972","NA","si:dkey-238d18","si:dkey-238d18.4",NA,NA,"si:dkey-238d18"
"ENSSSAG00000015643","ENSDARG00000074476","NA","odam","odam",NA,NA,"odam"
"ENSSSAG00000015644","ENSDARG00000040479|ENSDARG00000103345","ENSG00000135346","cga","cga|CGA","CGA","CGA","cga"
"ENSSSAG00000015646","ENSDARG00000078542","ENSG00000185133","inpp5ja","inpp5ja","INPP5J","INPP5J","inpp5j"
"ENSSSAG00000015647","ENSDARG00000024877|ENSDARG00000087017","ENSG00000106853","ptgr1","ptgr1.1|ptgr1.2","PTGR1","PTGR1","ptgr1"
"ENSSSAG00000015649","ENSDARG00000097485","ENSG00000206113","cfap99","cfap99","CFAP99","CFAP99","cfap99"
"ENSSSAG00000015650","ENSDARG00000002467","ENSG00000240857","rdh14b","rdh14b","RDH14","RDH14","rdh14"
"ENSSSAG00000015653","ENSDARG00000068680","ENSG00000141086|ENSG00000185888","ctrl","ctrl","CTRL","CTRL|PRSS38","ctrl"
"ENSSSAG00000015654","ENSDARG00000099143","ENSG00000168522","fnta","fnta","FNTA","FNTA","fnta"
"ENSSSAG00000015655","ENSDARG00000089943","ENSG00000185149","npy2rl","npy2rl","NPY2R","NPY2R","npy2r"
"ENSSSAG00000015656","ENSDARG00000053580","NA","htr1fb","htr1fb",NA,NA,"htr1fb"
"ENSSSAG00000015657","ENSDARG00000043673","NA","si:dkey-174m14","si:dkey-174m14.3",NA,NA,"si:dkey-174m14"
"ENSSSAG00000015658","ENSDARG00000019579","ENSG00000169744","ldb2a","ldb2a","LDB2","LDB2","ldb2"
"ENSSSAG00000015659","ENSDARG00000021808","ENSG00000152465","nmt2","nmt2","NMT2","NMT2","nmt2"
"ENSSSAG00000015661","ENSDARG00000077157","ENSG00000172403","synpo2b","synpo2b","SYNPO2","SYNPO2","synpo2"
"ENSSSAG00000015664","ENSDARG00000089094","ENSG00000198488","si:dkey-160o24","si:dkey-160o24.3","B3GNT6","B3GNT6","b3gnt6"
"ENSSSAG00000015666","ENSDARG00000078266","ENSG00000233608","twist2","twist2","TWIST2","TWIST2","twist2"
"ENSSSAG00000015667","ENSDARG00000059406","ENSG00000132155","raf1b","raf1b","RAF1","RAF1","raf1"
"ENSSSAG00000015668","ENSDARG00000015752","ENSG00000115085","zap70","zap70","ZAP70","ZAP70","zap70"
"ENSSSAG00000015673","ENSDARG00000019457","ENSG00000068323","tfe3b","tfe3b","TFE3","TFE3","tfe3"
"ENSSSAG00000015676","ENSDARG00000083424","ENSG00000238961",NA,"","SNORA47","SNORA47","snora47"
"ENSSSAG00000015679","ENSDARG00000026635","ENSG00000065802","asb1","asb1","ASB1","ASB1","asb1"
"ENSSSAG00000015680","ENSDARG00000045147","ENSG00000198792","tmem184ba","tmem184ba","TMEM184B","TMEM184B","tmem184b"
"ENSSSAG00000015682","ENSDARG00000033742","ENSG00000185013","nt5c1bb","nt5c1bb","NT5C1B","NT5C1B","nt5c1b"
"ENSSSAG00000015684","ENSDARG00000026723","ENSG00000135316","syncripl","syncripl","SYNCRIP","SYNCRIP","syncrip"
"ENSSSAG00000015691","ENSDARG00000075747","NA","zfyve16","zfyve16",NA,NA,"zfyve16"
"ENSSSAG00000015694","ENSDARG00000098311","ENSG00000169740","si:zfos-932h1","si:zfos-932h1.3","ZNF32","ZNF32","znf32"
"ENSSSAG00000015698","ENSDARG00000103961","ENSG00000130997","poln","poln","POLN","POLN","poln"
"ENSSSAG00000015707","ENSDARG00000028721","ENSG00000112062","mapk14b","mapk14b","MAPK14","MAPK14","mapk14"
"ENSSSAG00000015710","ENSDARG00000037266","ENSG00000172399","myoz2b","myoz2b","MYOZ2","MYOZ2","myoz2"
"ENSSSAG00000015716","ENSDARG00000092269","NA","prdm8a","prdm8a",NA,NA,"prdm8a"
"ENSSSAG00000015720","ENSDARG00000069113","ENSG00000113758","dbn1","dbn1","DBN1","DBN1","dbn1"
"ENSSSAG00000015725","ENSDARG00000089877","ENSG00000243449","nicol1","nicol1","NICOL1","NICOL1","nicol1"
"ENSSSAG00000015727","ENSDARG00000054540","ENSG00000136718","imp4","imp4","IMP4","IMP4","imp4"
"ENSSSAG00000015729","ENSDARG00000001891","NA","syt14b","syt14b",NA,NA,"syt14b"
"ENSSSAG00000015731","ENSDARG00000060430","ENSG00000159733","zfyve28","zfyve28","ZFYVE28","ZFYVE28","zfyve28"
"ENSSSAG00000015735","ENSDARG00000055011","NA","si:dkey-33m11","si:dkey-33m11.7",NA,NA,"si:dkey-33m11"
"ENSSSAG00000015736","ENSDARG00000007715","ENSG00000146166","lgsn","lgsn","LGSN","LGSN","lgsn"
"ENSSSAG00000015737","ENSDARG00000060682","NA","agr1","agr1",NA,NA,"agr1"
"ENSSSAG00000015741","ENSDARG00000061411","ENSG00000185049","nelfa","nelfa","NELFA","NELFA","nelfa"
"ENSSSAG00000015743","ENSDARG00000019113","ENSG00000172081","mob3a","mob3a","MOB3A","MOB3A","mob3a"
"ENSSSAG00000015744","ENSDARG00000028163","ENSG00000116690","prg4b","prg4b","PRG4","PRG4","prg4"
"ENSSSAG00000015746","ENSDARG00000018002","ENSG00000167969","eci1","eci1","ECI1","ECI1","eci1"
"ENSSSAG00000015747","ENSDARG00000006242","ENSG00000112245","ptp4a1","ptp4a1","PTP4A1","PTP4A1","ptp4a1"
"ENSSSAG00000015750","ENSDARG00000076499","ENSG00000145390","usp53b","usp53b","USP53","USP53","usp53"
"ENSSSAG00000015756","ENSDARG00000073699","ENSG00000112280","col9a1a","col9a1a","COL9A1","COL9A1","col9a1"
"ENSSSAG00000015758","ENSDARG00000040334","ENSG00000168906","mat2aa","mat2aa","MAT2A","MAT2A","mat2a"
"ENSSSAG00000015760","ENSDARG00000030644","ENSG00000127955|ENSG00000065135","gnai3","gnai3","GNAI1","GNAI1|GNAI3","gnai3"
"ENSSSAG00000015762","ENSDARG00000036571","ENSG00000170381","sema3e","sema3e","SEMA3E","SEMA3E","sema3e"
"ENSSSAG00000015763","ENSDARG00000055883","ENSG00000100206","dmc1","dmc1","DMC1","DMC1","dmc1"
"ENSSSAG00000015764","ENSDARG00000003789","ENSG00000170456","dennd5b","dennd5b","DENND5B","DENND5B","dennd5b"
"ENSSSAG00000015765","ENSDARG00000071304","ENSG00000095383","tbc1d2","tbc1d2","TBC1D2","TBC1D2","tbc1d2"
"ENSSSAG00000015771","ENSDARG00000063011","ENSG00000163297","antxr2b","antxr2b","ANTXR2","ANTXR2","antxr2"
"ENSSSAG00000015777","ENSDARG00000053685","ENSG00000140307","gtf2a2","gtf2a2","GTF2A2","GTF2A2","gtf2a2"
"ENSSSAG00000015779","ENSDARG00000038270","ENSG00000174227","pigg","pigg","PIGG","PIGG","pigg"
"ENSSSAG00000015780","ENSDARG00000003544","ENSG00000197381","adarb1b","adarb1b","ADARB1","ADARB1","adarb1"
"ENSSSAG00000015781","ENSDARG00000098538","NA","zmp:0000001332","zmp:0000001332",NA,NA,"zmp:0000001332"
"ENSSSAG00000015783","ENSDARG00000006427","ENSG00000145384","fabp2","fabp2","FABP2","FABP2","fabp2"
"ENSSSAG00000015784","ENSDARG00000045885","ENSG00000139218","scaf11","scaf11","SCAF11","SCAF11","scaf11"
"ENSSSAG00000015786","ENSDARG00000098904","ENSG00000127980","pex1","pex1","PEX1","PEX1","pex1"
"ENSSSAG00000015787","ENSDARG00000005699","ENSG00000157349|ENSG00000168872","ddx19b","ddx19b","DDX19B","DDX19B|DDX19A","ddx19b"
"ENSSSAG00000015788","ENSDARG00000078378","ENSG00000127191","unm_sa808","unm_sa808","TRAF2","TRAF2","traf2"
"ENSSSAG00000015792","ENSDARG00000091187","ENSG00000087206",NA,"","UIMC1","UIMC1","uimc1"
"ENSSSAG00000015794","ENSDARG00000058824","ENSG00000105364","mrpl4","mrpl4","MRPL4","MRPL4","mrpl4"
"ENSSSAG00000015795","ENSDARG00000037618","ENSG00000168209","ddit4","ddit4","DDIT4","DDIT4","ddit4"
"ENSSSAG00000015802","ENSDARG00000100693","ENSG00000162733","ddr2a","ddr2a","DDR2","DDR2","ddr2"
"ENSSSAG00000015806","ENSDARG00000042529","ENSG00000134183","gnat2","gnat2","GNAT2","GNAT2","gnat2"
"ENSSSAG00000015810","ENSDARG00000015164","ENSG00000099875","mknk2b","mknk2b","MKNK2","MKNK2","mknk2"
"ENSSSAG00000015812","ENSDARG00000078887","ENSG00000145246","atp10d","atp10d","ATP10D","ATP10D","atp10d"
"ENSSSAG00000015814","ENSDARG00000102828","ENSG00000092931","mfsd11","mfsd11","MFSD11","MFSD11","mfsd11"
"ENSSSAG00000015815","ENSDARG00000059303","ENSG00000104824","hnrnpl2","hnrnpl2","HNRNPL","HNRNPL","hnrnpl"
"ENSSSAG00000015819","ENSDARG00000009350","ENSG00000144848","atg3","atg3","ATG3","ATG3","atg3"
"ENSSSAG00000015825","ENSDARG00000061006","ENSG00000167740","cyb5d2","cyb5d2","CYB5D2","CYB5D2","cyb5d2"
"ENSSSAG00000015828","ENSDARG00000059811","NA","smpd5","smpd5",NA,NA,"smpd5"
"ENSSSAG00000015832","ENSDARG00000067838","ENSG00000170468","riox1","riox1","RIOX1","RIOX1","riox1"
"ENSSSAG00000015834","ENSDARG00000062695","ENSG00000169193","ccdc126","ccdc126","CCDC126","CCDC126","ccdc126"
"ENSSSAG00000015840","ENSDARG00000032465","NA","slc1a8b","slc1a8b",NA,NA,"slc1a8b"
"ENSSSAG00000015845","ENSDARG00000091079","ENSG00000156928","malsu1","malsu1","MALSU1","MALSU1","malsu1"
"ENSSSAG00000015847","ENSDARG00000007863","ENSG00000164548","tra2a","tra2a","TRA2A","TRA2A","tra2a"
"ENSSSAG00000015852","ENSDARG00000016630","ENSG00000047410","tprb","tprb","TPR","TPR","tpr"
"ENSSSAG00000015855","ENSDARG00000090982","ENSG00000070214","slc44a1b","slc44a1b","SLC44A1","SLC44A1","slc44a1"
"ENSSSAG00000015859","ENSDARG00000028131|ENSDARG00000095776","ENSG00000004961","hccsa","hccsa.1|hccsa.2","HCCS","HCCS","hccs"
"ENSSSAG00000015864","ENSDARG00000045886","ENSG00000134294","slc38a2","slc38a2","SLC38A2","SLC38A2","slc38a2"
"ENSSSAG00000015876","ENSDARG00000057743","ENSG00000152078","si:dkey-10f21","si:dkey-10f21.4","TLCD4","TLCD4","tlcd4"
"ENSSSAG00000015877","ENSDARG00000053544","ENSG00000164070","hspa4l","hspa4l","HSPA4L","HSPA4L","hspa4l"
"ENSSSAG00000015883","ENSDARG00000025824","ENSG00000135164","dmtf1","dmtf1","DMTF1","DMTF1","dmtf1"
"ENSSSAG00000015888","ENSDARG00000016156","ENSG00000189319","fam53b","fam53b","FAM53B","FAM53B","fam53b"
"ENSSSAG00000015899","ENSDARG00000037679","ENSG00000143158","mpc2a","mpc2a","MPC2","MPC2","mpc2"
"ENSSSAG00000015902","ENSDARG00000040121","ENSG00000106588","psma2a","psma2a","PSMA2","PSMA2","psma2"
"ENSSSAG00000015905","ENSDARG00000045886","ENSG00000134294","slc38a2","slc38a2","SLC38A2","SLC38A2","slc38a2"
"ENSSSAG00000015909","ENSDARG00000099510","ENSG00000117519","cnn3a","cnn3a","CNN3","CNN3","cnn3"
"ENSSSAG00000015921","ENSDARG00000060987","ENSG00000047621","FERRY3","FERRY3","FERRY3","FERRY3","ferry3"
"ENSSSAG00000015922","ENSDARG00000045799","ENSG00000157766","acanb","acanb","ACAN","ACAN","acan"
"ENSSSAG00000015924","ENSDARG00000036375","ENSG00000055163","cyfip2","cyfip2","CYFIP2","CYFIP2","cyfip2"
"ENSSSAG00000015928","ENSDARG00000103647","ENSG00000179399","gpc5a","gpc5a","GPC5","GPC5","gpc5"
"ENSSSAG00000015931","ENSDARG00000021370","ENSG00000075089","actr6","actr6","ACTR6","ACTR6","actr6"
"ENSSSAG00000015933","ENSDARG00000037679","ENSG00000143158","mpc2a","mpc2a","MPC2","MPC2","mpc2"
"ENSSSAG00000015934","ENSDARG00000086790","ENSG00000061918","gucy1b1","gucy1b1","GUCY1B1","GUCY1B1","gucy1b1"
"ENSSSAG00000015943","ENSDARG00000020521","ENSG00000138190","exoc6","exoc6","EXOC6","EXOC6","exoc6"
"ENSSSAG00000015945","ENSDARG00000067507","ENSG00000183783","kctd8","kctd8","KCTD8","KCTD8","kctd8"
"ENSSSAG00000015957","ENSDARG00000013784","NA","zgc:77158","zgc:77158",NA,NA,"zgc:77158"
"ENSSSAG00000015958","ENSDARG00000055839","ENSG00000144583","marchf4a","marchf4a","MARCHF4","MARCHF4","marchf4"
"ENSSSAG00000015969","ENSDARG00000077236","ENSG00000004776","hspb6","hspb6","HSPB6","HSPB6","hspb6"
"ENSSSAG00000015988","ENSDARG00000101892","NA","si:ch73-54f23","si:ch73-54f23.2",NA,NA,"si:ch73-54f23"
"ENSSSAG00000015993","ENSDARG00000068698","ENSG00000205155","psenen","psenen","PSENEN","PSENEN","psenen"
"ENSSSAG00000015994","ENSDARG00000054786","ENSG00000165591","faah2b","faah2b","FAAH2","FAAH2","faah2"
"ENSSSAG00000016007","ENSDARG00000074839","ENSG00000112706","impg1b","impg1b","IMPG1","IMPG1","impg1"
"ENSSSAG00000016012","ENSDARG00000027699|ENSDARG00000028098|ENSDARG00000058299|ENSDARG00000067524|ENSDARG00000086603|ENSDARG00000100247|ENSDARG00000102426|ENSDARG00000102554","ENSG00000130383|ENSG00000156413|ENSG00000171124","fut9b","fut9b.3|fut9d|fut9b.2|fut9b.1|fut9b.4||fut9b.5|fut9b.6","FUT5","FUT5|FUT6|FUT3","fut9b"
"ENSSSAG00000016020","ENSDARG00000055737","ENSG00000114062","ube3a","ube3a","UBE3A","UBE3A","ube3a"
"ENSSSAG00000016022","ENSDARG00000077988","ENSG00000124574|ENSG00000121270","abcc10","abcc10","ABCC10","ABCC10|ABCC11","abcc10"
"ENSSSAG00000016044","ENSDARG00000103490","NA","dpysl4","dpysl4",NA,NA,"dpysl4"
"ENSSSAG00000016068","ENSDARG00000103774","ENSG00000064042","limch1b","limch1b","LIMCH1","LIMCH1","limch1"
"ENSSSAG00000016098","ENSDARG00000003216","ENSG00000182718","anxa2a","anxa2a","ANXA2","ANXA2","anxa2"
"ENSSSAG00000016115","ENSDARG00000010266","ENSG00000136231","igf2bp3","igf2bp3","IGF2BP3","IGF2BP3","igf2bp3"
"ENSSSAG00000016122","ENSDARG00000032653","ENSG00000139146","sinhcaf","sinhcaf","SINHCAF","SINHCAF","sinhcaf"
"ENSSSAG00000016135","ENSDARG00000086764","ENSG00000137337","mdc1","mdc1","MDC1","MDC1","mdc1"
"ENSSSAG00000016147","ENSDARG00000052176","ENSG00000130813","shfl","shfl","SHFL","SHFL","shfl"
"ENSSSAG00000016162","ENSDARG00000029952","ENSG00000116337","ampd2b","ampd2b","AMPD2","AMPD2","ampd2"
"ENSSSAG00000016182","ENSDARG00000038006","ENSG00000164920","osr2","osr2","OSR2","OSR2","osr2"
"ENSSSAG00000016207","ENSDARG00000098311","ENSG00000169740","si:zfos-932h1","si:zfos-932h1.3","ZNF32","ZNF32","znf32"
"ENSSSAG00000016214","ENSDARG00000036057","ENSG00000102871","tradd","tradd","TRADD","TRADD","tradd"
"ENSSSAG00000016215","ENSDARG00000021124","ENSG00000172757","cfl1","cfl1","CFL1","CFL1","cfl1"
"ENSSSAG00000016216","ENSDARG00000016213","ENSG00000159231","zmp:0000001048","zmp:0000001048","CBR3","CBR3","cbr3"
"ENSSSAG00000016231","ENSDARG00000040198","ENSG00000168843","fstl5","fstl5","FSTL5","FSTL5","fstl5"
"ENSSSAG00000016259","ENSDARG00000044524","ENSG00000023892","def6b","def6b","DEF6","DEF6","def6"
"ENSSSAG00000016311","ENSDARG00000037997","ENSG00000196230","tubb5","tubb5","TUBB","TUBB","tubb"
"ENSSSAG00000016363","ENSDARG00000061749","ENSG00000149305","htr3b","htr3b","HTR3B","HTR3B","htr3b"
"ENSSSAG00000016369","ENSDARG00000079908","ENSG00000179292","tmem151a","tmem151a","TMEM151A","TMEM151A","tmem151a"
"ENSSSAG00000016373","ENSDARG00000051748","ENSG00000118971","ccnd2a","ccnd2a","CCND2","CCND2","ccnd2"
"ENSSSAG00000016461","ENSDARG00000036061","ENSG00000087263","ogfod1","ogfod1","OGFOD1","OGFOD1","ogfod1"
"ENSSSAG00000016481","ENSDARG00000089212","ENSG00000166736","htr3a","htr3a","HTR3A","HTR3A","htr3a"
"ENSSSAG00000016498","ENSDARG00000045824","NA","zgc:101783","zgc:101783",NA,NA,"zgc:101783"
"ENSSSAG00000016509","ENSDARG00000037998","ENSG00000137312","flot1b","flot1b","FLOT1","FLOT1","flot1"
"ENSSSAG00000016565","ENSDARG00000074057","NA","calm3b","calm3b",NA,NA,"calm3b"
"ENSSSAG00000016597","ENSDARG00000007184","ENSG00000109906","zbtb16a","zbtb16a","ZBTB16","ZBTB16","zbtb16"
"ENSSSAG00000016689","ENSDARG00000099546","ENSG00000115919","kynu","kynu","KYNU","KYNU","kynu"
"ENSSSAG00000016696","ENSDARG00000076865","NA","si:ch73-193c12","si:ch73-193c12.2",NA,NA,"si:ch73-193c12"
"ENSSSAG00000016736","ENSDARG00000073909","ENSG00000168781","ppip5k1b","ppip5k1b","PPIP5K1","PPIP5K1","ppip5k1"
"ENSSSAG00000016756","ENSDARG00000091650","ENSG00000126246","igflr1","igflr1","IGFLR1","IGFLR1","igflr1"
"ENSSSAG00000016788","ENSDARG00000018559","ENSG00000006459","kdm7ab","kdm7ab","KDM7A","KDM7A","kdm7a"
"ENSSSAG00000016848","ENSDARG00000041359","NA","zbedx","zbedx",NA,NA,"zbedx"
"ENSSSAG00000016871","ENSDARG00000051793|ENSDARG00000077248","NA","zgc:113426","zgc:113426|zgc:171459",NA,NA,"zgc:113426"
"ENSSSAG00000016878","ENSDARG00000055307","ENSG00000143028","sypl2a","sypl2a","SYPL2","SYPL2","sypl2"
"ENSSSAG00000016971","ENSDARG00000100529","ENSG00000131370","sh3bp5a","sh3bp5a","SH3BP5","SH3BP5","sh3bp5"
"ENSSSAG00000017022","ENSDARG00000056181","ENSG00000149294","ncam1a","ncam1a","NCAM1","NCAM1","ncam1"
"ENSSSAG00000017026","ENSDARG00000073726","NA","zbtb32","zbtb32",NA,NA,"zbtb32"
"ENSSSAG00000017038","ENSDARG00000021647","NA","gnai1","gnai1",NA,NA,"gnai1"
"ENSSSAG00000017046","ENSDARG00000097339","ENSG00000090020","slc9a1b","slc9a1b","SLC9A1","SLC9A1","slc9a1"
"ENSSSAG00000017067","ENSDARG00000098311","ENSG00000169740","si:zfos-932h1","si:zfos-932h1.3","ZNF32","ZNF32","znf32"
"ENSSSAG00000017087","ENSDARG00000043685","ENSG00000173559","nabp1b","nabp1b","NABP1","NABP1","nabp1"
"ENSSSAG00000017138","ENSDARG00000079078|ENSDARG00000097011","ENSG00000223609|ENSG00000244734|ENSG00000213934|ENSG00000196565","hbaa1","si:ch211-5k11.8|hbaa1","HBD","HBD|HBB|HBG1|HBG2","hbaa1"
"ENSSSAG00000017149","ENSDARG00000044525","ENSG00000112033","pparda","pparda","PPARD","PPARD","ppard"
"ENSSSAG00000017188","ENSDARG00000052139","ENSG00000074181","notch3","notch3","NOTCH3","NOTCH3","notch3"
"ENSSSAG00000017212","ENSDARG00000103253","ENSG00000182378","zgc:112023","zgc:112023","PLCXD1","PLCXD1","plcxd1"
"ENSSSAG00000017253","ENSDARG00000002947","ENSG00000117528","abcd3b","abcd3b","ABCD3","ABCD3","abcd3"
"ENSSSAG00000017261","ENSDARG00000098368","ENSG00000105290","aplp1","aplp1","APLP1","APLP1","aplp1"
"ENSSSAG00000017268","ENSDARG00000041332","ENSG00000109133","tmem33","tmem33","TMEM33","TMEM33","tmem33"
"ENSSSAG00000017278","ENSDARG00000078523","ENSG00000204580","ddr1","ddr1","DDR1","DDR1","ddr1"
"ENSSSAG00000017292","ENSDARG00000005454","ENSG00000013810","tacc3","tacc3","TACC3","TACC3","tacc3"
"ENSSSAG00000017327","ENSDARG00000008388","ENSG00000157227","mmp14b","mmp14b","MMP14","MMP14","mmp14"
"ENSSSAG00000017401","ENSDARG00000098645","ENSG00000130988","rgn","rgn","RGN","RGN","rgn"
"ENSSSAG00000017429","ENSDARG00000074242","ENSG00000142864","serbp1a","serbp1a","SERBP1","SERBP1","serbp1"
"ENSSSAG00000017595","ENSDARG00000028088","ENSG00000108479","galk1","galk1","GALK1","GALK1","galk1"
"ENSSSAG00000017625","ENSDARG00000098766","ENSG00000173599","pcxa","pcxa","PC","PC","pc"
"ENSSSAG00000017658","ENSDARG00000063538","ENSG00000160145","kalrnb","kalrnb","KALRN","KALRN","kalrn"
"ENSSSAG00000017663","ENSDARG00000055162","ENSG00000178764","zhx2a","zhx2a","ZHX2","ZHX2","zhx2"
"ENSSSAG00000017684","ENSDARG00000100693","ENSG00000162733","ddr2a","ddr2a","DDR2","DDR2","ddr2"
"ENSSSAG00000017777","ENSDARG00000069105","NA","fgfr4","fgfr4",NA,NA,"fgfr4"
"ENSSSAG00000017779","ENSDARG00000042045","ENSG00000064961","hmg20b","hmg20b","HMG20B","HMG20B","hmg20b"
"ENSSSAG00000017950","ENSDARG00000098311","ENSG00000169740","si:zfos-932h1","si:zfos-932h1.3","ZNF32","ZNF32","znf32"
"ENSSSAG00000017964","ENSDARG00000019208","ENSG00000130559","camsap1a","camsap1a","CAMSAP1","CAMSAP1","camsap1"
"ENSSSAG00000017975","ENSDARG00000100371","NA","eef2b","eef2b",NA,NA,"eef2b"
"ENSSSAG00000018034","ENSDARG00000058471","NA","plk1","plk1",NA,NA,"plk1"
"ENSSSAG00000018086","ENSDARG00000042905","ENSG00000198755","rpl10a","rpl10a","RPL10A","RPL10A","rpl10a"
"ENSSSAG00000018145","ENSDARG00000006031","ENSG00000183044","abat","abat","ABAT","ABAT","abat"
"ENSSSAG00000018217","ENSDARG00000017929","ENSG00000140396","ncoa2","ncoa2","NCOA2","NCOA2","ncoa2"
"ENSSSAG00000018238","ENSDARG00000021948","NA","tncb","tncb",NA,NA,"tncb"
"ENSSSAG00000018305","ENSDARG00000037178","ENSG00000043355","zic2b","zic2b","ZIC2","ZIC2","zic2"
"ENSSSAG00000018337","ENSDARG00000012073","ENSG00000163808","kif15","kif15","KIF15","KIF15","kif15"
